Fast,Slow,SL,TP,TSL,ATR,WinRate,Return,Sharpe
1,2,0.0,0.9,1.8,3,33.08,-20.91,-1.35
1,2,0.0,0.9,1.8,7,32.87,-21.65,-1.39
1,2,0.0,0.9,1.8,11,32.85,-20.28,-1.29
1,2,0.0,0.9,1.8,15,32.82,-18.72,-1.16
1,2,0.0,0.9,1.8,19,32.78,-18.97,-1.18
1,2,0.0,0.9,2.1,3,33.08,-20.91,-1.35
1,2,0.0,0.9,2.1,7,32.87,-21.65,-1.39
1,2,0.0,0.9,2.1,11,32.85,-20.28,-1.29
1,2,0.0,0.9,2.1,15,32.82,-18.72,-1.16
1,2,0.0,0.9,2.1,19,32.78,-18.97,-1.18
1,2,0.0,1.2,0.0,3,32.2,-27.69,-1.84
1,2,0.0,1.2,0.0,7,32.14,-23.54,-1.5
1,2,0.0,1.2,0.0,11,32.19,-21.14,-1.31
1,2,0.0,1.2,0.0,15,32.14,-22.01,-1.38
1,2,0.0,1.2,0.0,19,32.19,-18.28,-1.09
1,2,0.0,1.2,0.3,3,32.34,-28.01,-1.86
1,2,0.0,1.2,0.3,7,32.28,-23.6,-1.5
1,2,0.0,1.2,0.3,11,32.32,-21.71,-1.36
1,2,0.0,1.2,0.3,15,32.28,-22.34,-1.4
1,2,0.0,1.2,0.3,19,32.32,-18.65,-1.11
1,2,0.0,1.2,0.6,3,32.34,-28.01,-1.86
1,2,0.0,1.2,0.6,7,32.28,-23.6,-1.5
1,2,0.0,1.2,0.6,11,32.32,-21.71,-1.36
1,2,0.0,1.2,0.6,15,32.28,-22.34,-1.4
1,2,0.0,1.2,0.6,19,32.32,-18.65,-1.11
1,2,0.0,1.2,0.9,3,32.34,-28.01,-1.86
1,2,0.0,1.2,0.9,7,32.28,-23.6,-1.5
1,2,0.0,1.2,0.9,11,32.32,-21.71,-1.36
1,2,0.0,1.2,0.9,15,32.28,-22.34,-1.4
1,2,0.0,1.2,0.9,19,32.32,-18.65,-1.11
1,2,0.0,1.2,1.2,3,32.34,-28.01,-1.86
1,2,0.0,1.2,1.2,7,32.28,-23.6,-1.5
1,2,0.0,1.2,1.2,11,32.32,-21.71,-1.36
1,2,0.0,1.2,1.2,15,32.28,-22.34,-1.4
1,2,0.0,1.2,1.2,19,32.32,-18.65,-1.11
1,2,0.0,1.2,1.5,3,32.34,-28.01,-1.86
1,2,0.0,1.2,1.5,7,32.28,-23.6,-1.5
1,2,0.0,1.2,1.5,11,32.32,-21.71,-1.36
1,2,0.0,1.2,1.5,15,32.28,-22.34,-1.4
1,2,0.0,1.2,1.5,19,32.32,-18.65,-1.11
1,2,0.0,1.2,1.8,3,32.34,-28.01,-1.86
1,2,0.0,1.2,1.8,7,32.28,-23.6,-1.5
